msku,quantity,date,marketplace
x0027z4s1l,-1,2025-01-30,Amazon
x0027z4s1l,-1,2025-01-30,Amazon
x002737y0z,-1,2025-01-30,Amazon
x002737y0z,-5,2025-01-30,Amazon
x0027339i1,-1,2025-01-30,Amazon
x0026ewnth,-1,2025-01-30,Amazon
x0026er40f,-1,2025-01-30,Amazon
x0026er40f,-1,2025-01-30,Amazon
x0026er40f,-1,2025-01-30,Amazon
x0026eiufx,-1,2025-01-30,Amazon
x0026cnfap,-1,2025-01-30,Amazon
x0026cnfap,-1,2025-01-30,Amazon
x0024aau4d,-1,2025-01-30,Amazon
x0024aau4d,-1,2025-01-30,Amazon
x0024aau4d,-1,2025-01-30,Amazon
x0024aau4d,-1,2025-01-30,Amazon
x0024aau4d,-1,2025-01-30,Amazon
x0024aau4d,-1,2025-01-30,Amazon
x0024a2eyh,-1,2025-01-30,Amazon
x0024a2eyh,-1,2025-01-30,Amazon
x0024a2eyh,-1,2025-01-30,Amazon
x0024a2evz,-1,2025-01-30,Amazon
x0023zat27,-1,2025-01-30,Amazon
x00219awv3,-1,2025-01-30,Amazon
x0020hwkmp,-1,2025-01-30,Amazon
x001ykf8z5,-2,2025-01-30,Amazon
x001ykf8z5,-1,2025-01-30,Amazon
x001ygde7d,-1,2025-01-30,Amazon
x001w7x2xz,-1,2025-01-30,Amazon
x001w7q435,-1,2025-01-30,Amazon
x001w7q1m9,-1,2025-01-30,Amazon
x001w7q1m9,-1,2025-01-30,Amazon
x001w7n0cd,-1,2025-01-30,Amazon
x001vw9s9d,-1,2025-01-30,Amazon
x001vw1i8r,-1,2025-01-30,Amazon
x001vv0bwr,-1,2025-01-30,Amazon
x001vsxa73,-1,2025-01-30,Amazon
x001vsxa73,-2,2025-01-30,Amazon
x001vsvwk5,-1,2025-01-30,Amazon
x001vs5zbr,-1,2025-01-30,Amazon
x001jjpaoz,-1,2025-01-30,Amazon
x001fbkscv,-1,2025-01-30,Amazon
x00283i6ht,-1,2025-01-29,Amazon
x0027z4s1l,-1,2025-01-29,Amazon
x0027z4s1l,-1,2025-01-29,Amazon
x0027z4s1l,-1,2025-01-29,Amazon
x0027z4s1l,-1,2025-01-29,Amazon
x0027z4s1l,-1,2025-01-29,Amazon
x0027q9i5v,-1,2025-01-29,Amazon
x002737y0z,-1,2025-01-29,Amazon
x002737y0z,-1,2025-01-29,Amazon
x002734du9,-1,2025-01-29,Amazon
x0027339i1,-1,2025-01-29,Amazon
x0026ewnth,-1,2025-01-29,Amazon
x0026er40f,-1,2025-01-29,Amazon
x0026eiufx,-1,2025-01-29,Amazon
x0024aau4x,-1,2025-01-29,Amazon
x0024aau4d,-1,2025-01-29,Amazon
x0024aau4d,-1,2025-01-29,Amazon
x0024aau4d,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x0024a2eyh,-1,2025-01-29,Amazon
x00242e1zz,-2,2025-01-29,Amazon
x00242e1zz,-1,2025-01-29,Amazon
x00242e1zz,-1,2025-01-29,Amazon
x00219di2d,-1,2025-01-29,Amazon
x0020hwkmp,-1,2025-01-29,Amazon
x00205mhrf,-1,2025-01-29,Amazon
x001ygde7d,-1,2025-01-29,Amazon
x001w7x2xz,-1,2025-01-29,Amazon
x001w7x2xz,-1,2025-01-29,Amazon
x001vwdd5n,-1,2025-01-29,Amazon
x001vql0w7,-1,2025-01-29,Amazon
x001kp3iv5,-1,2025-01-29,Amazon
x001kp3iv5,-1,2025-01-29,Amazon
x001fbnfgr,-1,2025-01-29,Amazon
x00280rfyh,-1,2025-01-28,Amazon
x00280qjq7,-1,2025-01-28,Amazon
x0027z4s1l,-1,2025-01-28,Amazon
x0027z4s1l,-1,2025-01-28,Amazon
x0027sindr,-1,2025-01-28,Amazon
x0027sgwjj,-1,2025-01-28,Amazon
x00279nlg5,-1,2025-01-28,Amazon
x002739jm1,-1,2025-01-28,Amazon
x002737y0z,-1,2025-01-28,Amazon
x002737y0z,-1,2025-01-28,Amazon
x002736q2h,-1,2025-01-28,Amazon
x002736q2h,-1,2025-01-28,Amazon
x0026fx4q7,-1,2025-01-28,Amazon
x0026fx4q7,-1,2025-01-28,Amazon
x0026ex1ah,-1,2025-01-28,Amazon
x0026ewnth,-1,2025-01-28,Amazon
x0026ewnth,-1,2025-01-28,Amazon
x0026er40f,-1,2025-01-28,Amazon
x0026er40f,-1,2025-01-28,Amazon
x0026er40f,-1,2025-01-28,Amazon
x0026er40f,-1,2025-01-28,Amazon
x0026eiufx,-1,2025-01-28,Amazon
x0026eiufx,-1,2025-01-28,Amazon
x0026efwi1,-1,2025-01-28,Amazon
x002566lfx,-1,2025-01-28,Amazon
x0024aau4d,-1,2025-01-28,Amazon
x0024a2eyh,-1,2025-01-28,Amazon
x0024a2eyh,-1,2025-01-28,Amazon
x0024a2eyh,-1,2025-01-28,Amazon
x0024a2eyh,-1,2025-01-28,Amazon
